"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
0,-4,14,2,0,-10,-8,-6,12,6,2,-18,-18,-14,-10,16,-14,8,29,-15.9999999999991,2544,43.6940897186141,-28.151093049577,-5.38969227892085,48.0038457990158,0.852141985046046,-7.37287269566608,12.1273684210537,14.0876443226589,-5,4,-8,-4,-4,-3,0,-8,-3,1,5,-12,-4,9,2,4,-2,-6,31.9999999999999,151.502836405779,195,812,-18.100350877193,-0.102915519954825,7.16,-78.7200000000003,-5.90877192982454,15.2012349469576,1.17753149141144
0,2,8,-22,2,-12,-4,-20,12,-10,-2,-20,-22,4,12,-12,12,0,-38,-77,-2256,24.3356768552239,-48.4480121915358,47.5587092403653,-202.368167808614,2.77480416009439,50.0822590362563,9.73508771929983,-121.35649698542,14,16,12,9,3,-1,0,-1,2,5,1,-5,3,8,1,8,-2,6,-33.0000000000001,-126.862300043459,96.9999999999998,280,1.63473684210527,2.15688703846666,7.96000000000006,81.6800000000003,-5.0315789473684,17.4590882310699,-0.907022281436635
0,-6,8,20,2,-16,-2,8,-14,-4,14,-14,14,-26,10,-10,16,-12,-22,22.9999999999991,-2820,41.5021473726811,-10.4622267376062,24.0265299804819,-55.2956934839312,2.286964503739,123.552604514506,-32.8996491228058,-26.8507674251014,8,-1,-9,3,3,-1,1,2,16,3,5,2,-5,3,-3,-2,0,1,-2.0000000000001,-116.718927275362,167,-125.999999999999,22.0687719298247,-3.98180004028774,16.24,-178.08,-1.88070175438595,4.31968210782895,-0.742466836347734
6,6,-14,4,8,-12,6,-8,4,0,0,0,2,6,-4,10,-18,-24,-36,-52.0000000000009,-3800,123.103293476594,-30.8017895177754,68.5713635266129,-280.584839491552,0.746107709720718,70.7227953985756,12.1319298245626,-71.8973394977511,4,6,-2,-12,6,-2,-3,-1,-5,-3,3,2,3,-1,2,-5,3,-5,-4.00000000000006,-147.437854550722,26.0000000000002,-11.0000000000005,1.13754385964921,-0.547330298385918,7.48000000000003,194.840000000001,-0.761403508771906,-8.8330635641297,-0.455536799448943
2,2,12,18,0,10,22,8,16,0,16,-18,8,-4,8,-12,-16,14,27,-116,524,-107.7598122698,30.2026842766627,-32.1771925179287,38.0979204821051,-5.1191615645796,99.0879318478127,27.7305263157909,26.6234377512192,-3,6,0,-8,3,5,0,-1,-2,-6,2,6,-7,-2,-4,0,0,-3,29.9999999999999,-11.2160908695832,257,275,-15.0315789473683,2.20797853645335,-3.60000000000003,1044.2,-6.78947368421052,21.0070829865955,0.199355473708081
0,-4,0,26,-2,2,-4,-4,-10,2,4,-4,-8,0,-6,14,14,0,0,58.9999999999991,2484,54.1908661695197,-13.8915505886343,22.5006703596769,65.1938020218076,1.68433904588801,43.1013409057984,32.1217543859661,14.2592356413843,17,2,-6,5,5,5,-8,-4,-3,8,-5,6,0,3,1,-5,-2,0,51,-74.6673544782907,215,363,-8.25368421052622,2.43283322314754,7.88000000000002,-509.960000000001,2.95789473684212,5.83441356912124,0.649917740170135
-2,6,-2,2,22,4,-24,4,12,6,-18,16,6,-2,-18,16,-12,-2,3,-45,-264,30.7081619212877,-2.95288256735239,97.7751556218395,-263.863457594984,-18.4017503052335,21.8202681811596,-39.0845614035075,-52.8960078460441,-9,-1,-9,3,7,2,1,-3,3,4,-6,2,-1,-2,6,-2,-4,0,-7.00000000000006,-171.516245463766,210,592,19.740701754386,2.09937543674043,0.840000000000053,451.720000000002,-9.58245614035086,1.47876768992069,0.198411779297814
-4,2,0,-6,6,-6,2,-4,4,-2,-4,8,-14,-8,-2,20,4,-2,45,-33,2208,-0.527699553580533,21.8346924043526,5.24395029228162,109.786416493807,16.3643023286909,-74.9809181304577,0.492631578948931,18.2564851385159,-4,5,11,6,0,7,-2,1,-1,-8,-2,4,-6,-7,8,1,-4,6,34.9999999999999,103.581227318819,-169,-524,-9.70350877192971,0.805800186168833,-14.1999999999999,-1360.6,14.9122807017544,5.9317075741717,0.560133821415576
0,-8,-8,-8,-8,14,6,-24,-4,14,0,40,-8,20,-18,10,-4,-14,-2,-69,-1800,74.0566932194361,-67.5377732623938,75.7514990324075,-136.926209822857,-14.2869645037381,-62.4149045579654,-15.2750877192971,-10.0871365538678,11,-4,-1,-6,2,4,-1,0,6,8,1,10,1,3,-2,-6,6,3,-53.0000000000001,-12.0515727970715,-252,-505,-11.6775438596491,1.51277320553837,-10.64,-385.120000000001,1.16140350877191,-0.902286138284239,-0.0393116372791482
-6,4,-6,-6,2,16,-12,-2,10,-6,-20,-2,0,0,-8,20,-2,12,-21,-133,-1240,-71.0962087357821,-40.816004063845,34.7476887595212,26.4908832406727,-5.74173194663467,26.1931408768259,5.03157894736978,13.9151086226557,-3,1,-9,5,9,3,2,1,-1,-13,0,9,-3,2,8,5,7,-5,7.9999999999999,-139.124290898556,-172,-741,17.7249122807019,0.0788282547573139,3.04000000000008,170.320000000001,1.52280701754388,-12.3810595802071,-0.302221802270481
-2,6,-8,16,2,6,8,6,-14,-6,-6,-4,2,4,4,-4,0,-16,23,-124.000000000001,-164,55.6868573629199,15.9715709078591,71.727647170032,186.15650313993,-2.97567931271101,14.6500772970909,2.54000000000133,118.316448945747,-12,7,1,-4,-12,6,0,0,-9,7,2,15,-3,0,4,1,3,3,44.9999999999999,-6.82413630437532,105,241,18.9526315789474,-1.33983710358703,2.6000000000001,-477.2,2.31578947368422,-19.2635769201173,0.0062543039108327
6,8,-12,8,16,-8,10,6,36,4,-22,-8,-6,-4,0,10,2,-8,-11,-81.0000000000009,-128,98.4732234385028,-48.3537773262397,69.855686872721,-427.364239054325,-18.0286964503734,25.7877772536318,-1.65614035087583,-107.153738265097,6,-6,0,-2,-2,1,-5,-4,3,-4,1,-3,4,-2,3,0,2,-5,-29.0000000000001,24.5755545072625,-55.0000000000003,-343,1.49719298245617,-0.554106655775605,10.4800000000001,136.839999999999,-4.27017543859648,-13.0264520482893,-0.175529600415324
-8,12,-12,14,4,-6,-4,18,-8,-12,2,-12,-16,-2,30,-24,8,14,11,30,1372,8.49589040590035,7.86312149649257,-14.8595044894073,53.1171194479903,3.33998164140144,108.156781826083,0.830877192983735,38.8076200158575,-2,-5,0,2,-6,-9,11,2,-4,11,-11,-2,-8,-3,2,7,3,-2,43.9999999999999,53.8164000579463,292,776,-17.5129824561403,2.15344730786023,7.72000000000005,435.76,-6.62456140350878,11.4970113055838,-0.445712701587446
0,-4,-14,-2,8,24,0,-6,-12,-12,6,-24,-8,-4,2,8,20,8,-25,27,-1824,-11.764297503034,6.59910524111274,24.1758490543752,72.8901224580695,-9.62694614513953,90.653945420305,-16.6933333333318,6.7976208723212,14,-6,-9,-9,0,2,-1,4,-3,-4,2,9,4,1,4,7,-2,-3,-20.0000000000001,-29.1892727536124,-223,-426,-0.312280701754332,-0.292608175454627,-5.60000000000003,641.200000000001,-5.80701754385964,-22.3384822551922,0.248703323456258
2,2,2,-36,-2,12,-10,18,-2,-10,4,14,-34,12,14,-8,-14,10,-19,151,964,25.2631261375336,-31.5235587163243,-78.5156543692315,-16.2210948543216,18.2008751526175,-62.4703454782505,23.8940350877201,-46.188057750438,-7,-7,-10,-8,-1,-9,5,3,-1,4,3,-3,-2,2,3,-2,7,-1,34,70.2217636811401,-44.9999999999999,239,-26.1691228070175,0.829699452728829,-13.08,-981.639999999998,-1.02807017543857,-30.7669364027121,0.188653696552919
-4,-14,2,16,6,-16,-18,-12,14,-2,-18,-4,-8,-12,-12,-24,-10,24,-18,-145.000000000001,508,74.0861969528396,-39.8773360425639,23.2691802006989,-37.3655438472051,-5.82782129775637,9.17019088406923,7.82526315789573,-3.11528490481578,-2,2,6,3,12,-3,-3,1,0,3,10,-2,-2,-3,-1,-8,-7,1,4.99999999999987,0.797318188401732,-282,-1135,12.3280701754387,-0.612156317968598,-11.6,-1022.8,-7.29824561403507,-10.3715872220924,-0.508987198633932
-4,-14,-6,-14,-14,2,0,10,-8,6,0,-2,2,16,-10,10,-4,-14,-14,-31.0000000000009,-436,132.88160634023,-34.938668021282,13.2830152150445,-82.5367881137354,-11.9139106488781,-42.3690045724515,-24.9154385964898,55.9000006248316,9,-1,-6,1,2,-3,-6,4,-1,1,-2,-4,6,5,-3,5,1,4,15.9999999999999,-14.248581797111,168,446,-9.5501754385964,2.85559435273055,1.08000000000005,878.639999999999,-10.9543859649123,18.3421567061906,-0.0879094609522468
