"ccode1","ccode2","eligible","origin","label","probability"
"31","225",TRUE,0,0,0
"41","225",TRUE,0,0,0.001
"42","225",TRUE,0,0,0
"51","225",TRUE,0,0,0
"52","225",TRUE,0,0,0
"53","225",TRUE,0,0,0
"70","225",TRUE,0,0,0.001
"80","225",TRUE,0,0,0
"90","225",TRUE,0,0,0
"91","225",TRUE,0,0,0
"92","225",TRUE,0,0,0
"93","225",TRUE,0,0,0
"94","225",TRUE,0,0,0
"95","225",TRUE,0,0,0
"100","225",TRUE,0,0,0.001
"101","225",TRUE,0,0,0
"115","225",TRUE,0,0,0.002
"130","225",TRUE,0,0,0
"135","225",TRUE,0,0,0
"140","225",TRUE,0,0,0
"145","225",TRUE,0,0,0
"150","225",TRUE,0,0,0
"155","225",TRUE,0,0,0
"160","225",TRUE,0,0,0
"165","225",TRUE,0,0,0
"200","225",TRUE,1,1,1
"205","225",TRUE,0,0,0.001
"210","225",TRUE,1,1,0.999
"211","225",TRUE,0,0,0.013
"212","225",TRUE,0,0,0.004
"220","225",TRUE,1,1,1
"2","230",TRUE,1,1,0.996
"20","230",TRUE,0,0,0
"31","230",TRUE,0,0,0
"41","230",TRUE,0,0,0.001
"42","230",TRUE,0,0,0.007
"51","230",TRUE,0,0,0.004
"52","230",TRUE,0,0,0.004
"53","230",TRUE,0,0,0.001
"70","230",TRUE,0,0,0.003
"80","230",TRUE,0,0,0.005
"90","230",TRUE,0,1,0.005
"91","230",TRUE,0,1,0.001
"92","230",TRUE,0,1,0.002
"93","230",TRUE,0,1,0.001
"94","230",TRUE,0,0,0.01
"95","230",TRUE,0,0,0.001
"100","230",TRUE,0,0,0.003
"101","230",TRUE,1,1,0.92
"115","230",TRUE,0,0,0.001
"130","230",TRUE,0,0,0.002
"135","230",TRUE,0,1,0.003
"140","230",TRUE,0,0,0.005
"145","230",TRUE,1,1,0.863
"150","230",TRUE,0,0,0.003
"155","230",TRUE,1,1,0.99
"160","230",TRUE,1,1,0.999
"165","230",TRUE,0,0,0.002
"200","230",TRUE,1,1,1
"205","230",TRUE,0,0,0.019
"210","230",TRUE,0,0,0
"211","230",TRUE,0,0,0
"212","230",TRUE,0,0,0
"220","230",TRUE,1,1,0.999
"225","230",TRUE,1,1,1
"2","235",TRUE,0,0,0
"20","235",TRUE,0,0,0
"31","235",TRUE,0,0,0.001
"41","235",TRUE,0,0,0
