"ccode1","ccode2","eligible","origin","label","probability"
"2","145",TRUE,0,0,0.032
"20","145",TRUE,0,0,0.001
"31","145",TRUE,0,0,0.002
"41","145",TRUE,0,0,0.001
"42","145",TRUE,0,0,0.002
"51","145",TRUE,0,0,0.001
"52","145",TRUE,0,0,0.005
"53","145",TRUE,0,0,0.002
"70","145",TRUE,0,0,0.005
"80","145",TRUE,0,0,0.003
"90","145",TRUE,0,0,0.004
"91","145",TRUE,0,0,0.003
"92","145",TRUE,0,0,0.003
"93","145",TRUE,0,0,0.003
"94","145",TRUE,0,0,0.001
"95","145",TRUE,0,0,0.001
"100","145",TRUE,0,0,0.005
"101","145",TRUE,0,0,0.002
"115","145",TRUE,0,0,0.002
"130","145",TRUE,0,0,0.005
"135","145",TRUE,0,0,0.03
"140","145",TRUE,0,1,0.018
"2","150",TRUE,0,0,0.036
