"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
10,0,-6,-2,8,-16,-6,4,-4,-8,-10,-28,18,8,4,-6,6,14,1,-14,-436,-8.1512033240524,1.40089475888726,-45.9473318907239,-182.341240940208,-20.3730538548598,95.6405363623191,6.51859649122935,-18.3246665454517,8,2,-5,-1,2,2,0,0,-8,-6,-4,-1,4,6,-1,-10,2,-5,-43.0000000000002,13.5430635797347,-152,-61.0000000000005,16.9785964912281,2.14868417651751,0.159999999999982,-612.719999999999,1.56491228070178,-3.41208577726343,0.33038270540165
6,6,-6,2,8,0,-14,-10,-10,-6,-4,-30,-12,-6,0,2,2,26,23,-7.00000000000091,3060,42.3206040284513,-13.6746517659012,-43.6158521421753,120.330037864616,-6.94698286233711,-170.248581797111,4.07438596491374,50.9228935835818,-6,-4,-8,7,12,2,4,-3,-2,2,-7,-13,-2,-3,-8,-1,4,-5,52.9999999999999,82.0515727970696,67.9999999999995,179,-12.3224561403508,0.97676940276937,-17.36,-1144.88,-3.16140350877191,6.13408346596418,0.352650332609567
-6,-10,10,18,2,8,-12,-10,-6,6,16,-12,32,-2,4,-10,-4,34,-1,196.000000000001,1884,-79.9875027567559,40.1084494113666,47.3168339497311,-97.8713925697812,-2.31566095411199,31.5621454492776,7.65614035087856,-31.9628045187837,-1,-2,9,-13,-3,2,2,-6,9,-2,7,13,9,-7,-3,3,4,-4,-19.0000000000001,-41.8298091159313,-187,-189,5.15333333333336,-3.64667170614237,-3.71999999999998,151.24,-2.86666666666666,-23.8260112696242,-0.311853125029728
0,-2,8,-8,-12,8,-14,-8,-2,-6,-2,16,-8,-10,0,12,-6,-24,-9,-60,-828,29.8178903569096,-17.061331978718,-12.779827279116,-17.4536553037469,5.91391064887875,-3.95410001448661,-5.79368421052504,46.8816181786497,4,2,3,6,1,2,-7,-1,9,0,-1,5,-1,2,7,1,-3,2,-17.0000000000001,-209.11088184057,28.9999999999999,121,-4.91543859649113,2.43640117972129,0.0400000000000418,-293.68,-7.98596491228069,-6.65591501996698,-0.179142124006624
0,-4,12,-4,10,-4,-10,6,-12,2,-28,-6,6,0,0,-32,26,-10,-20,-39.0000000000009,-2556,41.2951096094403,-90.1084494113657,-0.918809099871396,-397.27976889893,2.3156609541129,14.4971635942215,-21.4340350877183,-109.118936244058,1,-10,-3,3,-1,1,6,2,-6,-1,3,4,3,3,5,1,1,4,-22.0000000000001,84.0917999710273,-261,-822,6.75649122807022,1.0615861811258,-2.35999999999994,103.12,-6.6877192982456,14.6164979268261,0.08347205576543
0,-8,10,-14,-10,-4,-2,18,-12,-2,8,26,4,14,-2,-16,-12,18,-42,23.9999999999991,-1588,69.5551783418014,-15.3866802128168,40.4983723538271,-82.8648337483974,-11.1391064887841,-50.6366682391049,-4.52421052631507,-47.7578853046725,-7,2,4,1,-1,-2,0,9,1,-9,0,5,-1,-4,10,-4,-2,-3,-17,-113.110881840571,80,316,8.08456140350887,-1.87264002154463,4.03999999999994,-271.68,6.01403508771932,-7.77907465885403,-0.0471023902495311
-4,-12,-4,-10,26,18,2,-8,0,-14,10,-20,2,-20,38,-10,-10,2,-19,73,-1520,35.2450686018328,-25.1697813900846,-1.45347887334765,-108.292059308711,-3.77042839700857,-26.9082000289725,-8.57157894736702,-56.1959486205706,11,-2,-1,2,-1,-5,-6,5,-2,1,-5,-5,1,6,2,-3,-2,-1,-7.00000000000004,112.483754536236,78.9999999999997,130,2.74070175438601,-0.71611451741957,-9.16,-292.28,-3.58245614035089,14.3154683880716,0.720379351700469
0,10,-18,-4,6,-10,12,-4,0,-20,-4,-20,-8,-4,18,22,-10,2,34,121.999999999999,5044,-81.0749945474417,87.726242992986,-10.6010338594738,454.791305340368,10.6799632828031,17.5028364057784,11.2491228070185,81.5417527521877,-3,2,-4,-15,2,-4,-1,0,-1,-13,4,0,-3,2,3,11,2,-4,51.9999999999999,-27.3078908406105,563,1349,22.2119298245615,0.670162147159369,-0.240000000000002,100.08,2.89824561403509,-10.6818343377429,0.386581291582882
-4,6,8,4,-22,-8,0,-8,-6,14,20,0,10,6,20,-2,4,8,-19,138,1024,22.9682767727954,21.1839959361541,-18.0161520960246,71.824110994392,-23.7417319466351,54.8107272463882,0.962807017544947,54.861879058757,-1,9,0,-1,-5,1,-7,-1,-2,-5,-7,-2,-4,-5,3,-4,-4,-9,23.9999999999997,188.627127304333,13.9999999999998,238,-6.82526315789471,-1.26873891499214,0.120000000000033,228.959999999999,4.56842105263161,9.74996812782672,0.948115460819348
-2,2,24,12,2,4,26,-6,16,14,-8,30,-6,-24,-12,2,26,-22,25,-45.0000000000009,-1352,-61.3042386691759,26.9102389291411,-5.95135599938294,135.82760603616,-1.06176866383225,73.8298091159307,12.8680701754397,59.1603566518006,0,5,3,-3,8,-11,3,-1,-4,1,-6,7,0,5,-2,1,-7,-1,14,59.0324909275278,103,-220,4.51859649122815,2.91720858201463,-1.68000000000001,175.559999999999,-2.83508771929824,-13.6071713306552,0.287756885756462
